Serial No,movie_id,movie_name,year,genre,overview,director,cast,poster_url,rating,votes
11,tt7529298,Attack,2022,"Action, Sci-Fi, Thriller",Witness the rise of an army soldier as he realizes his destiny and comes to terms to becoming India's first super soldier created to combat terrorists as he fights his inner demons and outer enemies.,Lakshya Raj Anand,"Jacqueline Fernandez, John Abraham, Elham Ehsas",https://m.media-amazon.com/images/M/MV5BZWYzNDcxNjQtNDZjNS00M2U3LTlkOTItNDc4NzhkMjYxNzFkXkEyXkFqcGc@._V1_SX300.jpg,6.8,16980
12,tt8291224,Uri: The Surgical Strike,2019,"Action, Drama, History","Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",Aditya Dhar,"Vicky Kaushal, Paresh Rawal, Mohit Raina",https://m.media-amazon.com/images/M/MV5BYTgyMTlkZTgtMTMxYi00Mjk5LTg2NTMtNGYyMDVlZWM0NmZjXkEyXkFqcGc@._V1_SX300.jpg,8.2,74787
13,tt16139258,Yodha,2024,"Action, Drama, Thriller","After terrorists hijack a passenger plane, an off-duty soldier aboard devises a strategy to defeat the hijackers and ensure the passengers' survival when the engine fails.","Sagar Ambre, Pushkar Ojha","Sidharth Malhotra, Raashi Khanna, Disha Patani",https://m.media-amazon.com/images/M/MV5BZjAyYjZmMjQtNGZlNi00ZGQ0LTkxNTUtNWQ2YzA3MWJjYjc2XkEyXkFqcGc@._V1_SX300.jpg,5.7,8533
14,tt27995594,Munjya,2024,"Comedy, Horror","A young man's visit to his native village unveils a family secret and a vengeful spirit, the Munjya, who wants to get married. Now the young man must fight to protect himself and his love from Munjya's clutches.",Aditya Sarpotdar,"Sharvari, Abhay Verma, Mona Singh",https://m.media-amazon.com/images/M/MV5BMGY4OTA3OWEtZjYxYy00YTBlLWJmYzEtNzM0NDliYzA5OGYwXkEyXkFqcGc@._V1_SX300.jpg,6.4,23385
15,tt0164538,Dil Se..,1998,"Drama, Romance",A radio broadcaster's intense attraction to a mysterious woman opens the door to a tidal wave of powerful emotions and desires.,Mani Ratnam,"Shah Rukh Khan, Manisha Koirala, Preity G Zinta",https://m.media-amazon.com/images/M/MV5BOGU3NGY5ZWUtMWQxOS00ZTMzLWJjNTEtMjkyZDVlY2E4OGZmXkEyXkFqcGc@._V1_SX300.jpg,7.5,32231
16,tt0112870,Dilwale Dulhania Le Jayenge,1995,"Drama, Romance","When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",Aditya Chopra,"Shah Rukh Khan, Kajol, Amrish Puri",https://m.media-amazon.com/images/M/MV5BMDQyMDI4ZGMtYjI5MS00YTk1LTk3ZDgtZTA3MzQ5YWQ4Y2Q4XkEyXkFqcGc@._V1_SX300.jpg,8.0,79265
17,tt3679040,Kisi Ka Bhai Kisi Ki Jaan,2023,"Action, Comedy, Drama","The eldest brother refuses to marry since he believes it may create disharmony in his big family. His brothers, who've already found partners, come together to find a match for him.",Farhad Samji,"Salman Khan, Pooja Hegde, Venkatesh Daggubati",https://m.media-amazon.com/images/M/MV5BZDZlZDIxM2EtMDk1Ni00MTM3LTg2YjYtNzYxMTM3ZTU0NzU0XkEyXkFqcGc@._V1_SX300.jpg,4.0,41238
18,tt23849204,12th Fail,2023,"Biography, Drama",The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,Vidhu Vinod Chopra,"Vikrant Massey, Medha Shankr, Anant Joshi",https://m.media-amazon.com/images/M/MV5BNTE3OTIxZDYtNjA0NC00N2YxLTg1NGQtOTYxNmZkMDkwOWNjXkEyXkFqcGc@._V1_SX300.jpg,8.8,141838
19,tt6649234,Be Happy,2024,Drama,The journey of a single father and his talented daughter who aspire to perform on the country's biggest dance reality show.,Remo D'Souza,"Amitabh Bachchan, Abhishek Bachchan, Nora Fatehi",https://m.media-amazon.com/images/M/MV5BOGIwOWY4N2QtZjk2NS00ZmViLTkwNmQtZjZmMzhlY2RjNTkwXkEyXkFqcGc@._V1_SX300.jpg,Not Available,Not Available
20,tt8239946,Tumbbad,2018,"Drama, Fantasy, Horror",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,"Rahi Anil Barve, Anand Gandhi, Adesh Prasad","Sohum Shah, Jyoti Malshe, Anita Date-Kelkar",https://m.media-amazon.com/images/M/MV5BOTY0YzY3MTMtOWQ5Yi00ODY2LThhOGMtMzFlMjhlODcxOGU1XkEyXkFqcGc@._V1_SX300.jpg,8.2,66457
21,tt31712434,Sikandar,2025,Action,"A fiery youth confronts a powerful network of corruption, challenging the status quo and fighting for the common people's rights in a nation gripped by injustice.",A.R. Murugadoss,"Salman Khan, Rashmika Mandanna, Sharman Joshi",https://m.media-amazon.com/images/M/MV5BZDViYTVmZWMtMjY2Yy00MWFjLWFiNmItZjNhMWUwODAyZjdkXkEyXkFqcGc@._V1_SX300.jpg,Not Available,Not Available
22,tt13751694,Animal,2023,"Action, Crime, Drama",The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.,Sandeep Reddy Vanga,"Ranbir Kapoor, Anil Kapoor, Bobby Deol",https://m.media-amazon.com/images/M/MV5BZThmNDg1NjUtNWJhMC00YjA3LWJiMjItNmM4ZDQ5ZGZiN2Y2XkEyXkFqcGc@._V1_SX300.jpg,6.1,104876
23,tt0232079,Mela,2000,"Action, Adventure, Comedy","When a village belle's brother is killed by a bandit, she vows revenge and enlists the help of two truckers-come-theatre artists in her mission.",Dharmesh Darshan,"Aamir Khan, Twinkle Khanna, Faisal Khan",https://m.media-amazon.com/images/M/MV5BMjlmZTcxOTYtYmUwZC00NTY2LWE0ODctYjZjMDEzOTgzMGE0XkEyXkFqcGc@._V1_SX300.jpg,3.7,5046
24,tt21279420,Emergency,2025,"Biography, Drama, History","Based on true events that unfolded in 1975. The chronicles incidents that took place under the leadership of Mrs Indira Gandhi, one of the most Powerful Women in Indian History.",Kangana Ranaut,"Anupam Kher, Kangana Ranaut, Manisha Koirala",https://m.media-amazon.com/images/M/MV5BMzhhODhlMDQtZWRiOS00NTcwLWFjZWItM2I2NjA4MjYzNDg1XkEyXkFqcGc@._V1_SX300.jpg,5.9,3985
25,tt21626284,Lost Ladies,2023,"Comedy, Drama","The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming moments.",Kiran Rao,"Nitanshi Goel, Pratibha Ranta, Sparsh Shrivastava",https://m.media-amazon.com/images/M/MV5BZGI5NzVmNDktZWY2Ni00ZGMwLTlhMzctNzJhYTgzZmQ2ZjNjXkEyXkFqcGc@._V1_SX300.jpg,8.4,48169
26,tt0271397,Bhoot Bungla,1965,"Comedy, Horror, Mystery",Mystery surrounds a house which is reportedly haunted by singing and dancing ghosts and ghouls.,Mehmood,"Mehmood, Tanuja Samarth, Nasir Hussain",https://m.media-amazon.com/images/M/MV5BNjY2N2Y2ZTYtNGQ4MS00ZWVjLWE1MzEtZDVhYmI4NjNhM2M1XkEyXkFqcGdeQXVyNjg2MDI4MDM@._V1_SX300.jpg,6.4,127
27,tt2203308,Aashiqui 2,2013,"Drama, Music, Musical",Rahul loses his fans and fame due to alcoholism. But he then decides to turn a small time singer into a rising star.,Mohit Suri,"Aditya Roy Kapoor, Shraddha Kapoor, Shaad Randhawa",https://m.media-amazon.com/images/M/MV5BMjEzNzczNTg2M15BMl5BanBnXkFtZTcwMjUxNjk0OQ@@._V1_SX300.jpg,7.1,34062
28,tt0499375,Guru,2007,Drama,"A villager, Gurukant Desai, arrives in Bombay 1958, and rises from its streets to become the GURU, the biggest tycoon in Indian history.",Mani Ratnam,"Mithun Chakraborty, Abhishek Bachchan, Aishwarya Rai Bachchan",https://m.media-amazon.com/images/M/MV5BNDgzMjliNDAtMGJkNy00ZTUzLWIyMTAtNWZkNmY2MDNiZjE3XkEyXkFqcGc@._V1_SX300.jpg,7.7,25336
29,tt13818368,Fighter,2024,"Action, Drama",A reckless yet brilliant squadron leader and his team of elite fighter pilots face mortal dangers and inner demons as they unite for a deadly mission.,Siddharth Anand,"Hrithik Roshan, Deepika Padukone, Anil Kapoor",https://m.media-amazon.com/images/M/MV5BYmJiYzZhOTktNGIzNy00YjljLWI3ZDgtZGU2YWMzNGQ1YjQ5XkEyXkFqcGc@._V1_SX300.jpg,6.2,50334
30,tt0102825,Saajan,1991,"Drama, Musical, Romance",A poet (Sanjay Dutt) and his best friend (Salman Khan) fall in love with the same woman (Madhuri Dixit).,Lawrence D'Souza,"Sanjay Dutt, Madhuri Dixit, Salman Khan",https://m.media-amazon.com/images/M/MV5BZDI3Y2FiYTQtMTM2YS00YjU0LTg5MzctNTI2MmJhNmEzMzJiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,7.2,7579
31,tt1188996,My Name Is Khan,2010,"Drama, Romance","Rizwan Khan is a Muslim immigrant to the US with Asperger's syndrome. After his family falls apart in the aftermath of 9/11, he begins an epic quest across the country to speak to the President of the United States and clear his n...",Karan Johar,"Shah Rukh Khan, Kajol, Sheetal Menon",https://m.media-amazon.com/images/M/MV5BMTUyMTA4NDYzMV5BMl5BanBnXkFtZTcwMjk5MzcxMw@@._V1_SX300.jpg,7.9,118527
32,tt0332766,Sur,2002,"Drama, Musical, Romance","A renowned music teacher mentors a promising young singer, but when her fame begins to overshadow his own, he lets jealousy and competition take over.",Tanuja Chandra,"Lucky Ali, Simone Singh, Achint Kaur",https://m.media-amazon.com/images/M/MV5BNGMzY2RmYzktNWRlOC00NjIzLTk2Y2QtMTcxNTM2ZWQzMDM1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,6.5,560
33,tt0213890,Mohabbatein,2000,"Drama, Musical, Romance","A film about the battle between love and fear, between two stubborn men and their opposing beliefs and the outcome of the love stories of 3 couples.",Aditya Chopra,"Amitabh Bachchan, Shah Rukh Khan, Aishwarya Rai Bachchan",https://m.media-amazon.com/images/M/MV5BMzY5M2RkYjMtYmFhNC00NzdmLTgxNTUtYTE3Yjc2NDhkYTcyXkEyXkFqcGc@._V1_SX300.jpg,7.0,34628
34,tt21403688,Operation Mayfair,2023,"Crime, Thriller",A detective hunts for a London-based serial killer who targets women in this gritty Hindi language thriller.,Sudipto Sarkar,"Jimmy Shergill, Vedieka Dutt, Ankur Bhatia",https://m.media-amazon.com/images/M/MV5BODAyYzZjZDctODllNS00YTAxLWIxNzgtYWU2YjU5ZTJhYjc2XkEyXkFqcGc@._V1_SX300.jpg,2.4,1205
35,tt5074352,Dangal,2016,"Action, Biography, Drama","Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh",https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_SX300.jpg,8.3,220511
36,tt8672856,Tu Jhoothi Main Makkaar,2023,"Comedy, Romance","Madness ensues when a 'player' in the world of romantic relationships finds a girl who's a worthy opponent, that believes love is a battle of wits.",Luv Ranjan,"Ranbir Kapoor, Shraddha Kapoor, Anubhav Singh Bassi",https://m.media-amazon.com/images/M/MV5BY2Y0ZmZjNjQtYjIwYi00YWNhLThjNGUtMTU0ZTI3Zjc0YTNjXkEyXkFqcGc@._V1_SX300.jpg,6.0,28531
37,tt6265050,Shabaash Mithu,2022,"Biography, Drama, Sport","A biopic based on the life and struggles of Mithali Raj, Indian Cricketer, and captain of the Indian National Cricket team.",Srijit Mukherji,"Taapsee Pannu, Vijay Raaz, Brijendra Kala",https://m.media-amazon.com/images/M/MV5BZWYyODQ0YjAtNmNiNi00MDU3LTkxODQtNzhmZjMyNDdlZmE0XkEyXkFqcGc@._V1_SX300.jpg,5.6,8342
38,tt5935704,Padmaavat,2018,"Drama, History, Romance","Set in medieval Rajasthan, Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Me...",Sanjay Leela Bhansali,"Deepika Padukone, Ranveer Singh, Shahid Kapoor",https://m.media-amazon.com/images/M/MV5BNjM4MzFhOTItMzNmYy00NTg4LWFjYzItMWY0ZDAxY2NmNTUyXkEyXkFqcGc@._V1_SX300.jpg,7.1,38405
39,tt10098288,Roohi,2021,"Comedy, Horror","Hired to kidnap a bride, two bumbling pals get into a wacky predicament when one falls for their abductee, and the other falls for the spirit that possesses her.","Hardik Mehta, Jaspal Singh","Rajkummar Rao, Janhvi Kapoor, Varun Sharma",https://m.media-amazon.com/images/M/MV5BYzc5OGI3Y2YtOTY0ZS00NDI1LTliMDktYTI2YmU4MGI5MDBmXkEyXkFqcGc@._V1_SX300.jpg,4.3,11171
40,tt6455162,Bhool Bhulaiyaa 2,2022,"Comedy, Horror","When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit that has been trapped for 18 years.",Anees Bazmee,"Tabu, Kartik Aaryan, Kiara Advani",https://m.media-amazon.com/images/M/MV5BOTZhY2NjMGItODAyOS00MGVlLTk5ZDYtNzBjMjQ3ZDdkYmZmXkEyXkFqcGc@._V1_SX300.jpg,5.7,33888
41,tt0248126,Kabhi Khushi Kabhie Gham...,2001,"Drama, Musical, Romance","After marrying a poor woman, rich Rahul is disowned by his father and moves to London to build a new life. Years later, his now-grown younger brother Rohan embarks on a mission to bring Rahul back home and reunite the family.",Karan Johar,"Shah Rukh Khan, Kajol, Amitabh Bachchan",https://m.media-amazon.com/images/M/MV5BN2MyZGVhNmMtY2JkNy00ZmIzLTkwOGItY2NiM2MyOGMxODkzXkEyXkFqcGc@._V1_SX300.jpg,7.4,58366
42,tt0172684,Kuch Kuch Hota Hai,1998,"Comedy, Drama, Musical","During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali.",Karan Johar,"Shah Rukh Khan, Kajol, Rani Mukerji",https://m.media-amazon.com/images/M/MV5BMmQ0ZjliZTgtMjQ3NC00N2NiLTkxNjktY2VkOTQ2N2QyODNkXkEyXkFqcGc@._V1_SX300.jpg,7.5,58570
43,tt27989067,Lust Stories 2,2023,"Drama, Romance","Four eminent Indian directors explore sex, desire and love through short films in this sequel to 2018's Emmy-nominated ""Lust Stories"".","R Balki, Sujoy Ghosh, Amit Ravindernath Sharma","Tamannaah Bhatia, Vijay Varma, Neena Gupta",https://m.media-amazon.com/images/M/MV5BZDM3ZGI5MWUtMTViOS00OGVkLWIwNzUtNTQ5OTgxMThiMzI2XkEyXkFqcGc@._V1_SX300.jpg,5.8,51697
44,tt5301942,Jersey,2022,"Drama, Sport",A cricketer who quits cricket decides to revive his career at the age of 36 for his sons dream and prove his ability.,Gowtam Tinnanuri,"Shahid Kapoor, Mrunal Thakur, Pankaj Kapur",https://m.media-amazon.com/images/M/MV5BMDIxMjk1MGQtYjBiOS00YTNjLWFkNGEtMzMzYzVmYmUwYjQ2XkEyXkFqcGc@._V1_SX300.jpg,7.3,14868
45,tt26733317,Jigra,2024,"Action, Drama, Thriller","When Ankur is wrongfully imprisoned and sentenced to death in a foreign country, his steely sister Satya is driven by a lethal resolve to break him free.",Vasan Bala,"Alia Bhatt, Sikandar Kher, Vedang Raina",https://m.media-amazon.com/images/M/MV5BNmJhMTc5NDEtN2NkOC00Njc3LWJiMzgtZjhjZWNhZDhmZTE0XkEyXkFqcGc@._V1_SX300.jpg,6.1,22819
46,tt3863552,Bajrangi Bhaijaan,2015,"Action, Adventure, Comedy",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,Kabir Khan,"Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui",https://m.media-amazon.com/images/M/MV5BYzVjMjZiNGUtZjZiNy00Yzg4LWEzYzYtMmI1NDg5NWNiNjUwXkEyXkFqcGc@._V1_SX300.jpg,8.1,101278
47,tt3357416,What the Fish,2013,"Adventure, Comedy, Drama","A woman Sudha, before leaving for a month-long holiday, instructs Sumit to regularly feed her pet fish. But when she returns home, she is shocked to see her house in an utter mess. What could have happened?",Gurmmeet Singh,"Manu Rishi Chadha, Naresh Gosain, Dimple Kapadia",https://m.media-amazon.com/images/M/MV5BOTllZGQwOGQtYzc4ZS00MjE4LWJkMjEtOTBiN2Q5ZjZkNDVlXkEyXkFqcGc@._V1_SX300.jpg,5.0,241
48,tt27510174,Stree 2: Sarkate Ka Aatank,2024,"Comedy, Horror","After the events of Stree, the town of Chanderi is being haunted again. This time, women are mysteriously abducted by a terrifying headless entity. Once again, it's up to Vicky and his friends to save their town and loved ones.",Amar Kaushik,"Bhumi Rajgor, Shruti Pandey, Sunil Kumar",https://m.media-amazon.com/images/M/MV5BMTA1NmUxYzItZmVmNy00YmQxLTk4Y2UtZjVkMWUwMWQ5N2IxXkEyXkFqcGc@._V1_SX300.jpg,7.0,35926
49,tt13529034,Meenakshi Sundareshwar,2021,"Comedy, Romance","Forced to live apart due to a unique job prospect, two newlyweds face the hassles, hiccups - and hilarity - that arise from their long distance marriage.",Vivek Soni,"Sanya Malhotra, Abhimanyu Dasani, Shivkumar Subramaniam",https://m.media-amazon.com/images/M/MV5BZTEwOGFjNjQtMDhiNC00YzMwLTkwMzItYWU5ZjZlYjEwOGI1XkEyXkFqcGc@._V1_SX300.jpg,6.7,18470
50,tt27757805,Baby John,2024,"Action, Drama, Thriller",Revolves around a DCP who transforms and travels to a different place in order to safeguard his family.,Kalees,"Wamiqa Gabbi, Salman Khan, Keerthy Suresh",https://m.media-amazon.com/images/M/MV5BYjVjNjE1NTgtOThjZC00MDYzLTlkM2YtZDk1NTU4OGQxNDdhXkEyXkFqcGc@._V1_SX300.jpg,6.4,14639
51,tt0322653,Mere Yaar Ki Shaadi Hai,2002,"Comedy, Drama, Romance",Sanjay wakes up to the truth that he loves his best friend Sanjana reluctantly but surely and sets off on a noble mission - to break her wedding.,Sanjay Gadhvi,"Uday Chopra, Jimmy Shergill, Bipasha Basu",https://m.media-amazon.com/images/M/MV5BYzk1NGE2ZjgtNWFiNy00NjE1LTgyZmUtODU2NTA5MTJlYTE1XkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_SX300.jpg,5.5,2519
52,tt12844910,Pathaan,2023,"Action, Adventure, Thriller","An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.",Siddharth Anand,"Shah Rukh Khan, Deepika Padukone, John Abraham",https://m.media-amazon.com/images/M/MV5BNDdkNTY1MDQtY2I5MC00OTFlLTg5OWQtZWE2YzE5NWFiMDgzXkEyXkFqcGc@._V1_SX300.jpg,5.8,159944
53,tt21383812,Crew,2024,"Comedy, Drama",Follows three hard-working women as their destinies lead to some unwarranted situations and they end up caught in a web of lies.,Rajesh A Krishnan,"Tabu, Kareena Kapoor, Kriti Sanon",https://m.media-amazon.com/images/M/MV5BNGRmYjBmOWQtMmY1NS00Njk3LWFkYWYtZWY3ODQ0N2U2NTBhXkEyXkFqcGc@._V1_SX300.jpg,5.9,36276
54,tt26439870,Azaad,2025,"Action, Adventure, Drama","Azaad is an upcoming movie set in 1920s India, produced by RSVP and Guy In The Sky Pictures. Directed by Abhishek Kapoor, the film stars Ajay Devgn, Aaman Devgan, Rasha Thadani, Diana Penty, Mohit Malik, and Piyush Mishra. A young...",Abhishek Kapoor,"Ajay Devgn, Aman Devgan, Diana Penty",https://m.media-amazon.com/images/M/MV5BNTc0NzA4M2UtNzBlMi00MDU4LWE4MDMtM2NmOTJkOTMyYjdmXkEyXkFqcGc@._V1_SX300.jpg,Not Available,Not Available
55,tt10919304,Hurdang,2022,"Drama, Romance","Back in the 1990s, an aspiring IAS starts a rebellion against the caste-based reservation.","Nikhil Nagesh Bhat, Vishal Chaturvedi","Sunny Kaushal, Nushrratt Bharuccha, Vijay Varma",https://m.media-amazon.com/images/M/MV5BNGI2YjE5ZDEtM2MwNS00YjNhLTg5OWYtMGM5YjRhNjEwOWE1XkEyXkFqcGc@._V1_SX300.jpg,5.3,1123
56,tt0317751,Janwar,1965,"Musical, Romance",The wealthy patriarch of a Mumbai family learns more than wants to about his own origins after his refusal to accept his sons' chosen spouses drives them and his own wife away.,Bhappi Sonie,"Shammi Kapoor, Rajshree, Rehman Khan",https://m.media-amazon.com/images/M/MV5BODcxNDMwMzItMTYzZC00ZDNlLTlmMDgtNzQ1MmIzNTFjZjZjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,6.7,215
57,tt7886848,Sadak 2,2020,"Action, Drama","The film picks up where Sadak left off, revolving around the journey with a young girl who becomes an important character in the life of the protagonist, and the reason for him to stay alive.",Mahesh Bhatt,"Alia Bhatt, Priyanka Bose, Sanjay Dutt",https://m.media-amazon.com/images/M/MV5BYjlkNDY5NDUtY2NiMy00NGI2LTk0MmMtMTkzMmYxYjE5MWUwXkEyXkFqcGc@._V1_SX300.jpg,1.2,96895
58,tt0986264,Like Stars on Earth,2007,"Drama, Family",A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,"Aamir Khan, Amole Gupte","Darsheel Safary, Aamir Khan, Tisca Chopra",https://m.media-amazon.com/images/M/MV5BZTI0ZGRiMDEtNGNjMS00MGU4LWI3OTktNzcxMDZmZTk3MTljXkEyXkFqcGc@._V1_SX300.jpg,8.3,215892
59,tt10895576,Mimi,2021,"Comedy, Drama",Mimi is introduced by Bhanu to an American couple as a surrogate in exchange for Rs 2 million. She decides to have the baby even when they change their mind and tells her parent that Bhanu is the father.,"Rajesh Bhatia, Laxman Utekar","Kriti Sanon, Evelyn Edwards, Pankaj Tripathi",https://m.media-amazon.com/images/M/MV5BYzU5YjkyODYtNmIzOC00MWY3LWE0ZTUtZWU2MDZhODE3NDE1XkEyXkFqcGc@._V1_SX300.jpg,7.8,44290
60,tt11213600,Sardar Ka Grandson,2021,"Comedy, Drama, Romance",A devoted grandson embarks on a complicated and comic journey to fulfill his ailing grandmother's last wish.,Kaashvi Nair,"Aditi Rao Hydari, John Abraham, Rakul Preet Singh",https://m.media-amazon.com/images/M/MV5BZGYxMjEyZDMtZjMzMi00MTI5LWIzM2YtNzllYTdmMzIwODIwXkEyXkFqcGc@._V1_SX300.jpg,4.3,4894
61,tt0435437,Taarzan: The Wonder Car,2004,"Action, Adventure, Drama","Raj rebuilds his dead father's car and names it Taarzan, but the car comes to life in a miraculous way. Slowly, the car starts killing the killers of Raj's father.","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Ajay Devgn, Vatsal Sheth, Ayesha Takia",https://m.media-amazon.com/images/M/MV5BZjczNzdkNzEtOGFjYy00MDJhLWI4ZjEtMmRmNjdlMGNlZmEyXkEyXkFqcGc@._V1_SX300.jpg,4.8,5647
62,tt1833673,Dhoom 3,2013,"Action, Crime, Drama","Jai and Ali return to catch the clown thief, Sahir, who has targeted various branches of the Western Bank of Chicago.",Vijay Krishna Acharya,"Aamir Khan, Katrina Kaif, Abhishek Bachchan",https://m.media-amazon.com/images/M/MV5BMjA4OTEzMjkzN15BMl5BanBnXkFtZTgwMDAwNzg3MDE@._V1_SX300.jpg,5.4,50216
